Network Reference ID,Parent Network Reference ID,Substation Name,Substation Number,Asset Type,Latitude,Longitude,Bulk Supply Point Name,Primary Substation
15097,251230,Easton-In-Gordano,181414,Primary,51.471,-2.6923,PORTISHEAD 33kV,EASTON IN GORDANO 11kV
15033,98,Eastville,110644,Primary,51.4717,-2.5531,LOCKLEAZE 33kV 'J' BAR,EASTVILLE 11kV
245390,245530,Ebbw Vale Primary,550013,BSP,51.7654,-3.1971,,EBBW VALE 33kV
253115,245390,Ebbw Vale Primary,550013,Primary,51.7654,-3.1971,,EBBW VALE CENTRAL 11kV
315130,314639,Eccleshall 33/11kv,850010,Primary,52.8526,-2.2552,Meaford 'C' 132 33,Eccleshall 33 11
315154,314667,Eckington 33/11kv,890083,Primary,53.3032,-1.3663,Staveley,Eckington
15113,82,Edgarley,210110,Primary,51.1392,-2.6875,STREET 33kV,EDGARLEY 11kV
277,36,Eggbuckland,330025,Primary,50.3999,-4.1134,PLYMOUTH 33kV,EGGBUCKLAND 11kV
315395,314734,Eldergate 33/11kv,940071,Primary,52.0406,-0.7715,Stony Stratford,Eldergate
275,36,Elim Terrace,330019,Primary,50.3873,-4.1361,PLYMOUTH 33kV,ELIM TERRACE 11kV
315339,314742,Ellesmere Avenue 33/11kv,940055,Primary,52.2416,-0.9315,Northampton West,Ellesmere Avenue
315199,314758,Elton 33/11kv,790016,Primary,51.821,-2.4429,Lydney 132 33,Elton 33 11
245429,245433,Ely,510119,Primary,51.4833,-3.2238,,ELY 11kV
308822,98,Emersons Green,114391,Primary,51.4978,-2.4738,LOCKLEAZE 33kV 'K' BAR,EMERSONS GREEN 11kV
315260,314705,Empingham 33/11kv,910056,Primary,52.662,-0.5957,Oakham,Empingham
314548,,Enderby 400/132kv,690004,GSP,52.5979,-1.215,,
315283,314726,Endon 33/11kv,850016,Primary,53.0702,-2.1042,Whitfield 132 33,Endon 33 11
271437,253131,Energlyn 33kv,540120,Primary,51.5915,-3.2209,,
245427,245421,Energlyn Primary,540910,BSP,51.5921,-3.2397,,
253162,245427,Energlyn Primary,540910,Primary,51.5921,-3.2397,,ENERGLYN 11kV
15064,94,Entry Hill,160355,Primary,51.3606,-2.3645,BATH (DOLEMEADS) 33kV,ENTRY HILL 6.6kV
